"Time","time_d","Head_1","Rain_2","ET_3_AET","ET_3_PET","NET1.Sources.Sinks","PM","Overland","ET.Interception.Storage","NET2.Accumulation","ERROR..NET1.NET2.","Error.rel","Error.percent","Olf2PM","PM2Olf","Canopy_evap","Surf_evap","PM_evap","PM_trans","Tot_ET"
79.007746241311,0.00142970384035834,0.00080695791167,0.0192,-0.0050670291253,0.019072,0.014939928786,0.014938877327,0.00000035117952019,0,0.014939228506,0.00000070028010468,0.000046874153633,0.0035001828253,0.0057093539099,0,0,-0.00000027137992338,-0.0011275258165,-0.0039392319288,-0.0050670291253
79.0091759451514,0.00142970384035834,0.00080695224545,0.0192,-0.0050688226136,0.019072,0.014938129632,0.014937171047,0.00000034153038872,0,0.014937512577,0.00000061705471869,0.000041308214523,0.0030842014872,0.0073641266314,0,0,-0.00000035590142489,-0.0011282241309,-0.0039402425813,-0.0050688226136
79.0106056489918,0.00142970384035834,0.00080694657933,0.0192,-0.0050706298934,0.019072,0.014936316686,0.014935460997,0.00000032151502805,0,0.014935782512,0.00000053417352074,0.000035764043042,0.0026699402561,0.0089726201777,0,0,-0.00000044090057647,-0.0011289294198,-0.003941259573,-0.0050706298934
79.0120353528321,0.00142970384035834,0.00080694091331,0.0192,-0.0050724478636,0.019072,0.01493449305,0.01493374397,0.00000029476653227,0,0.014934038737,0.00000045431281429,0.000030420833373,0.0022707760085,0.010469393262,0,0,-0.00000052305854705,-0.0011296419658,-0.0039422828393,-0.0050724478636
79.0134650566725,0.00142970384035834,0.00080693524739,0.0192,-0.0050742743702,0.019072,0.014932660877,0.014932015758,0.0000002648507739,0,0.014932280609,0.00000038026858841,0.000025465885382,0.0019006838564,0.011813784558,0,0,-0.00000060009371965,-0.0011303619619,-0.0039433123146,-0.0050742743702
79.0148947605128,0.00142970384035834,0.00080692958157,0.0192,-0.005076108196,0.019072,0.014930821386,0.014930272274,0.00000023466096293,0,0.014930506935,0.00000031445069768,0.000021060730742,0.0015717089241,0.012987840918,0,0,-0.00000067075114846,-0.001131089513,-0.0039443479318,-0.005076108196
79.0163244643532,0.00142970384035834,0.00080692391585,0.0192,-0.0050779488351,0.019072,0.014928975081,0.014928511744,0.00000020599524117,0,0.014928717739,0.00000025734170334,0.000017237882705,0.0012862632178,0.013989860978,0,0,-0.00000073455586713,-0.001131824656,-0.0039453896232,-0.0050779488351
79.0177541681935,0.00142970384035834,0.00080691825022,0.0192,-0.0050797963007,0.019072,0.01492712195,0.014926733245,0.00000017994226247,0,0.014926913187,0.00000020876267102,0.00001398555807,0.0010434524118,0.01482917298,0,0,-0.00000079160264913,-0.0011325673782,-0.0039464373199,-0.0050797963007
79.0191838720339,0.00142970384035834,0.0008069125847,0.0192,-0.0050816514205,0.019072,0.014925261164,0.014924925724,0.00000015863727086,0,0.014925084361,0.00000017680335264,0.000011845983658,0.00088371132675,0.015531200625,0,0,-0.00000084287950762,-0.001133317589,-0.003947490952,-0.0050816514205
79.0206135758743,0.00142970384035834,0.00080690691928,0.0192,-0.0050835141401,0.019072,0.014923392779,0.014923110876,0.00000013858514015,0,0.014923249461,0.00000014331831619,0.0000096036475421,0.00071634419439,0.016102477517,0,0,-0.00000088841114619,-0.0011340752795,-0.0039485504494,-0.0050835141401
79.0220432797146,0.00142970384035834,0.00080690125396,0.0192,-0.0050853850892,0.019072,0.014921516165,0.01492127825,0.00000012176852206,0,0.014921400019,0.00000011614583747,0.0000077838128659,0.00058052886851,0.016562685706,0,0,-0.00000092897273108,-0.0011348403752,-0.0039496157413,-0.0050853850892
79.023472983555,0.00142970384035834,0.00080689558874,0.0192,-0.0050872649002,0.019072,0.014919630689,0.014919428442,0.00000010791013517,0,0.014919536352,0.000000094336307745,0.0000063229853311,0.00047151896868,0.016930494469,0,0,-0.0000009653443227,-0.0011356128,-0.0039506867559,-0.0050872649002
79.0249026873953,0.00142970384035834,0.00080688992362,0.0192,-0.0050891541607,0.019072,0.014917735763,0.014917562103,0.000000096658329433,0,0.014917658761,0.00000007700190565,0.0000051617822978,0.00038487693962,0.017222693338,0,0,-0.00000099825844286,-0.0011363924807,-0.0039517634215,-0.0050891541607
79.0263323912357,0.00142970384035834,0.0008068842586,0.0192,-0.0050910533879,0.019072,0.014915830871,0.01491567988,0.000000087642045543,0,0.014915767522,0.000000063348312627,0.0000042470612397,0.00031663257411,0.01745383313,0,0,-0.0000010283724227,-0.0011371793498,-0.0039528456657,-0.0050910533879
79.0277620950761,0.00142970384035834,0.00080687859368,0.0192,-0.0050929630189,0.019072,0.014913915575,0.014913782385,0.000000080504217007,0,0.014913862889,0.0000000526859756,0.0000035326784838,0.00026333930779,0.017636188648,0,0,-0.0000010562575645,-0.0011379733457,-0.0039539334156,-0.0050929630189
79.0291917989164,0.00142970384035834,0.00080687292886,0.0192,-0.0050948834108,0.019072,0.014911989518,0.014911870169,0.000000074919851263,0,0.014911945088,0.000000044429541013,0.0000029794553669,0.00022207139102,0.01777990553,0,0,-0.0000010823988517,-0.0011387744136,-0.0039550265984,-0.0050948834108
79.0306215027568,0.00142970384035834,0.00080686726413,0.0192,-0.0050968148459,0.019072,0.014910052418,0.014909943724,0.000000070603898117,0,0.014910014328,0.000000038090221581,0.0000025546704442,0.00019038573645,0.0178932374,0,0,-0.0000011072006689,-0.0011395825044,-0.0039561251408,-0.0050968148459
79.0320512065971,0.00142970384035834,0.00080686159951,0.0192,-0.0050987575396,0.019072,0.01490810406,0.014908003483,0.000000067312779047,0,0.014908070796,0.000000033264296677,0.0000022312920311,0.00016626444138,0.017982813834,0,0,-0.0000011309954695,-0.0011403975746,-0.0039572289696,-0.0050987575396
