*SOIL WATER BY LAYER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.021 -develop  JUL 11, 2025 15:07:12

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR    Year of current date of simulation (YYYY)
!DOY     Day of year (d)
!DAS     Days after start of simulation (d)
!LL#D    Volumetric soil water content at Lower Limit in soil layer # (cm3 [water] / cm3 [soil])
!DUL#D   Volumetric soil water content at Drained Upper Limit in soil layer # (cm3[water]/cm3[soil])
!SAT#D   Volumetric soil water content at Saturation in soil layer # (cm3 [water] / cm3 [soil])
!BD#D    Bulk density in soil layer # (g [soil] / cm3 [soil])
!SW#D    Volumetric soil water content in soil layer #  (cm3 [water] / cm3 [soil])

!                    0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS     LL1D    LL2D    LL3D    LL4D    LL5D    LL6D    LL7D    LL8D    LL9D   DUL1D   DUL2D   DUL3D   DUL4D   DUL5D   DUL6D   DUL7D   DUL8D   DUL9D   SAT1D   SAT2D   SAT3D   SAT4D   SAT5D   SAT6D   SAT7D   SAT8D   SAT9D    BD1D    BD2D    BD3D    BD4D    BD5D    BD6D    BD7D    BD8D    BD9D    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 1982 076    21   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0419  0.0731  0.0821  0.0838  0.0847  0.0890  0.0891  0.1296  0.2545
 1982 077    22   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0390  0.0714  0.0815  0.0837  0.0847  0.0890  0.0891  0.1296  0.2545
 1982 078    23   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0709  0.0693  0.0807  0.0837  0.0847  0.0890  0.0891  0.1296  0.2545
 1982 079    24   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0627  0.0676  0.0799  0.0837  0.0847  0.0890  0.0891  0.1296  0.2545
 1982 080    25   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0567  0.0659  0.0789  0.0836  0.0847  0.0890  0.0891  0.1296  0.2545
 1982 081    26   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0578  0.0644  0.0777  0.0835  0.0846  0.0890  0.0891  0.1296  0.2545
 1982 082    27   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.1394  0.0903  0.0853  0.0822  0.0836  0.0881  0.0884  0.1288  0.2531
 1982 083    28   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.1438  0.0989  0.0912  0.0882  0.0882  0.0878  0.0882  0.1285  0.2527
 1982 084    29   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.1291  0.1280  0.1319  0.1204  0.1090  0.0962  0.0933  0.1312  0.2550
 1982 085    30   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.1112  0.1010  0.1074  0.1128  0.1115  0.0999  0.0974  0.1348  0.2591
 1982 086    31   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0898  0.0861  0.0905  0.0940  0.0940  0.0928  0.0921  0.1310  0.2580
 1982 087    32   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.1482  0.1078  0.0968  0.0960  0.0953  0.0939  0.0932  0.1324  0.2594
 1982 088    33   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.1409  0.1320  0.1339  0.1273  0.1162  0.1009  0.0982  0.1359  0.2619
 1982 089    34   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0916  0.0927  0.0972  0.0978  0.0951  0.0927  0.0920  0.1310  0.2576
 1982 090    35   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0771  0.0812  0.0856  0.0880  0.0880  0.0918  0.0913  0.1301  0.2564
 1982 091    36   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0621  0.0729  0.0805  0.0855  0.0866  0.0907  0.0904  0.1291  0.2547
 1982 092    37   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0521  0.0641  0.0749  0.0828  0.0852  0.0897  0.0896  0.1281  0.2530
 1982 093    38   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0479  0.0618  0.0724  0.0819  0.0851  0.0897  0.0896  0.1281  0.2530
