ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,ES8D,ES9D,ES10D
0,0.396,0.012,0.013,0.006,0,0,0,0,0
0.001,0.517,0.013,0.014,0.006,0,0,0,0,0
0.001,0.555,0.014,0.014,0.005,0,0,0,0,0
0.001,0.584,0.016,0.015,0.006,0,0,0,0,0
0.001,0.614,0.015,0.015,0.005,0,0,0,0,0
0.001,0.614,0.021,0.02,0.009,0,0,0,0,0
0.001,0.626,0.02,0.022,0.011,0,0,0,0,0
0.001,0.659,0.017,0.019,0.009,0,0,0,0,0
0.001,0.696,0.015,0.016,0.007,0,0,0,0,0
0.001,0.735,0.013,0.014,0.005,0,0,0,0,0
0,0.647,0.027,0.028,0.016,0,0,0,0,0
0,0.656,0.029,0.033,0.022,0,0,0,0,0
0,0.685,0.023,0.027,0.018,0,0,0,0,0
0,0.717,0.021,0.024,0.015,0,0,0,0,0
0,0.752,0.018,0.021,0.012,0,0,0,0,0
0,0.747,0.024,0.026,0.015,0,0,0,0,0
0,0.752,0.026,0.029,0.018,0,0,0,0,0
0,0.778,0.021,0.024,0.015,0,0,0,0,0
0,0.802,0.019,0.021,0.012,0,0,0,0,0
0,0.39,0.022,0.025,0.018,0,0,0,0,0
0,0.161,0.018,0.021,0.016,0.006,0,0,0,0
0,0.492,0.038,0.048,0.039,0.013,0,0,0,0.003
0,0.536,0.031,0.039,0.031,0.006,0,0,0,0.005
0,0.594,0.027,0.033,0.025,0.001,0,0,0,0
0,0.657,0.024,0.029,0.021,0,0,0,0,0
0,0.724,0.022,0.026,0.018,0,0,0,0,0
0,0.795,0.02,0.023,0.015,0,0,0,0,0
0,0.841,0.023,0.026,0.016,0,0,0,0,0
0,0.879,0.024,0.026,0.017,0,0,0,0,0
0,0.938,0.02,0.023,0.014,0,0,0,0,0
0,1.006,0.018,0.02,0.012,0,0,0,0,0
0,1.077,0.016,0.018,0.01,0,0,0,0,0
0,1.148,0.016,0.017,0.008,0,0,0,0,0
0,1.219,0.014,0.015,0.007,0,0,0,0,0
0,1.293,0.013,0.014,0.005,0,0,0,0,0
0,1.367,0.013,0.013,0.004,0,0,0,0,0
0,1.395,0.02,0.02,0.009,0,0,0,0,0
0,1.416,0.021,0.023,0.012,0,0,0,0,0
0,1.462,0.022,0.023,0.012,0,0,0,0,0
0,1.51,0.018,0.02,0.011,0,0,0,0,0
0,1.571,0.016,0.017,0.008,0,0,0,0,0
0,1.636,0.014,0.015,0.007,0,0,0,0,0
0,1.703,0.013,0.013,0.005,0,0,0,0,0
0,1.771,0.012,0.012,0.003,0,0,0,0,0
0,1.84,0.011,0.011,0.002,0,0,0,0,0
0,1.91,0.01,0.01,0.001,0,0,0,0,0
0,1.981,0.009,0.008,0,0,0,0,0,0
0,2.052,0.008,0.008,0,0,0,0,0,0
0,2.124,0.008,0.007,0,0,0,0,0,0
0,2.192,0.008,0.007,0,0,0,0,0,0
0,2.219,0.016,0.013,0.002,0,0,0,0,0
0,2.222,0.024,0.021,0.008,0,0,0,0,0
0,2.255,0.018,0.019,0.008,0,0,0,0,0
0,2.307,0.015,0.016,0.006,0,0,0,0,0
0,2.363,0.013,0.014,0.004,0,0,0,0,0
0,2.421,0.012,0.012,0.003,0,0,0,0,0
0,2.48,0.011,0.01,0.001,0,0,0,0,0
0,2.083,0.018,0.017,0.007,0,0,0,0,0
0,2.482,0.023,0.025,0.013,0,0,0,0,0
0,2.524,0.018,0.02,0.01,0,0,0,0,0
0,2.574,0.016,0.017,0.008,0,0,0,0,0
0,2.626,0.014,0.015,0.006,0,0,0,0,0
0,2.299,0.011,0.011,0.004,0,0,0,0,0
0,2.738,0.011,0.011,0.003,0,0,0,0,0
0,2.792,0.01,0.01,0.001,0,0,0,0,0
0,2.85,0.009,0.009,0,0,0,0,0,0
0,2.908,0.009,0.008,0,0,0,0,0,0
0,2.967,0.008,0.007,0,0,0,0,0,0
0,2.493,0.006,0.005,0,0,0,0,0,0
0,2.813,0.006,0.005,0,0,0,0,0,0
0,3.146,0.006,0.004,0,0,0,0,0,0
0,3.182,0.011,0.008,0,0,0,0,0,0
0,3.213,0.012,0.01,0,0,0,0,0,0
0,3.197,0.01,0.008,0,0,0,0,0,0
0,3.31,0.01,0.008,0,0,0,0,0,0
0,3.359,0.008,0.007,0,0,0,0,0,0
0,2.093,0.008,0.006,0,0,0,0,0,0
0,3.42,0.014,0.012,0.001,0,0,0,0,0
0,3.453,0.013,0.011,0.001,0,0,0,0,0
0,3.485,0.014,0.012,0.001,0,0,0,0,0
0,3.519,0.012,0.011,0.001,0,0,0,0,0
0,2.911,0.018,0.016,0.006,0,0,0,0,0
0,3.508,0.022,0.024,0.012,0,0,0,0,0
0,2.155,0.011,0.012,0.006,0,0,0,0,0
0,2.311,0.01,0.011,0.004,0,0,0,0,0
